aes,wmo,id,name,instr,prov,lon,lat,elev,tz_correct,h_bul,s_bul,hly,syn,tmm,ua,useindex,agency,the_geom
3013959,71871,CYLL,                                      LLOYDMINSTER,   NCA,AB,-110.067,53.317,669,-7,sacn62/cyll,smcn07/cwao,G,H,-,-,871,MSC   ,01010000208A0F00002F359D3FFEEA2DC14D686B23ED1A2241
3014195,71047,CPMA,                                    MANNVILLE+AGCM,   AU7,AB,-111.25,53.45,656,-7,swobml/cpma,smcn20/cwao,H,H,@,-,47,MSC   ,01010000208A0F0000A7B83F9F730D30C17CE39D32191D2341
3014665,71354,CZMU,                                      MUNDARE+AGDM,   AU7,AB,-112.3,53.567,683,-7,swobml/czmu,smcn33/cwao,H,H,@,-,354,MSC   ,01010000208A0F000009D89AE6260331C1A9ED6E2393092441
3014690,71065,CPMN,                                       MYRNAM+AGCM,   AU7,AB,-111.117,53.717,580,-7,swobml/cpmn,xxxxxx/xxxx,H,H,-,-,65,MSC   ,01010000208A0F0000294D8463C69F2FC16041346B4DE92341
3014795,71067,CPNS,                                  NEW+SAREPTA+AGCM,   AU7,AB,-113.167,53.267,765,-7,swobml/cpns,smcn30/cwao,H,H,-,-,67,MSC   ,01010000208A0F00000A555FF6CBFB31C10E7B19B49E8C2341
3014921,71351,CZOL,                                       OLIVER+AGDM,   AU7,AB,-113.35,53.65,665,-7,swobml/czol,smcn33/cwao,H,H,@,-,351,MSC   ,01010000208A0F00001028179837FA31C108EA7F5ABDE12441
3015346,71545,CPRW,                                       RADWAY+AGCM,   AU7,AB,-112.883,54,625,-7,swobml/cprw,smcn25/cwao,H,H,-,-,545,MSC   ,01010000208A0F0000E8F5F7DDAF5E31C1F68358FABCBE2541
3015401,71637,CPNX,                                     RANFURLY+AUTO,   AU8,AB,-111.733,53.417,687,-7,swobml/cpnx,smcn26/cwao,G,H,-,-,637,MSC   ,01010000208A0F0000E07905E67B8830C14884B4F41E412341
3015480,71089,CPRS,                               RIBSTONE+SOUTH+AGCM,   AU7,AB,-110.35,52.583,644,-7,swobml/cprs,smcn30/cwao,H,H,-,-,89,MSC   ,01010000208A0F0000B2A45AFD890E2FC10CEFAA82F5B31F41
3015501,71102,CPRA,                                  RIVERCOURSE+AGCM,   AU7,AB,-110.1,53.017,669,-7,swobml/cpra,smcn21/cwao,H,H,@,-,102,MSC   ,01010000208A0F0000AF125E5EEE372EC184D03E54F3242141
